feature_selection_method,mean_score,mean_time
CART,23.727862595638108,16.068363017522923
ElasticNet,23.09079784149174,2493.310492570366
F-Test,23.604218530500226,0.8506104741881971
GainRatio,19.111849139069857,14.127770423980644
LOCO,10.223525410274329,6617.16573946417
LaplacianScore,-19.711780420632586,53.45016886075157
Lasso,21.43449769523543,2490.315303235431
MI,23.221600676795582,51.110470411795575
MarkovBlanket,13.935758671634504,2214.6112207964293
RFE,27.07516871940745,28490.795737902605
RFImportance,25.884094283082618,48.32579934041599
Random,0.0,0.002718717167475828
ReliefF,18.893699352789458,24197.727481672227
SFS,16.498996567295503,28875.880149680677
mRMR,21.841275539375765,54.81389240204965
